IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.222.255.15,2053,true,SIN,Asia Pacific,Singapore,203 ms,9575 kB/s
8.222.182.10,2096,true,SIN,Asia Pacific,Singapore,189 ms,9544 kB/s
8.219.237.250,2083,true,SIN,Asia Pacific,Singapore,203 ms,9539 kB/s
8.219.72.50,2096,true,SIN,Asia Pacific,Singapore,206 ms,9527 kB/s
8.219.170.232,2053,true,SIN,Asia Pacific,Singapore,203 ms,9502 kB/s
8.222.140.87,8443,true,SIN,Asia Pacific,Singapore,202 ms,9499 kB/s
8.219.170.232,2087,true,SIN,Asia Pacific,Singapore,191 ms,9498 kB/s
8.222.221.197,2087,true,SIN,Asia Pacific,Singapore,197 ms,9490 kB/s
8.219.228.157,8443,true,SIN,Asia Pacific,Singapore,192 ms,9468 kB/s
8.222.213.221,2083,true,SIN,Asia Pacific,Singapore,191 ms,9459 kB/s
8.219.173.195,2087,true,SIN,Asia Pacific,Singapore,191 ms,9456 kB/s
8.222.212.116,2087,true,SIN,Asia Pacific,Singapore,194 ms,9437 kB/s
8.219.235.164,2053,true,SIN,Asia Pacific,Singapore,189 ms,9431 kB/s
8.222.155.242,2096,true,SIN,Asia Pacific,Singapore,203 ms,9416 kB/s
8.222.150.197,2096,true,SIN,Asia Pacific,Singapore,190 ms,9412 kB/s
8.222.130.137,8443,true,SIN,Asia Pacific,Singapore,183 ms,9411 kB/s
8.222.147.203,8443,true,SIN,Asia Pacific,Singapore,202 ms,9407 kB/s
8.222.214.231,2083,true,SIN,Asia Pacific,Singapore,213 ms,9403 kB/s
8.222.224.162,8443,true,SIN,Asia Pacific,Singapore,213 ms,9375 kB/s
8.219.173.195,2053,true,SIN,Asia Pacific,Singapore,184 ms,9369 kB/s
8.222.150.197,2087,true,SIN,Asia Pacific,Singapore,203 ms,9339 kB/s
8.219.175.127,2083,true,SIN,Asia Pacific,Singapore,202 ms,9338 kB/s
8.222.249.190,2087,true,SIN,Asia Pacific,Singapore,231 ms,9334 kB/s
8.219.104.242,2096,true,SIN,Asia Pacific,Singapore,183 ms,9280 kB/s
8.222.136.196,8443,true,SIN,Asia Pacific,Singapore,202 ms,9279 kB/s
8.222.160.61,2096,true,SIN,Asia Pacific,Singapore,203 ms,9270 kB/s
8.219.67.133,8443,true,SIN,Asia Pacific,Singapore,204 ms,9265 kB/s
